,OrderNumber,OrderDate,Customer Name Index,Channel,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Line Total,Total Unit Cost,Customer Index,Customer Names,Index,Product Name,id,name,county,state_code,state,type,latitude,longitude,area_code,population,households,median_income,land_area,water_area,time_zone,State Code,Region
10,SO - 0004272,2014-01-01,13,Wholesale,USD,FLR025,504,26,11,2257.9,24836.9,1196.6870000000001,13,Nexus Group,26,Product 26,504,Perry,Monroe County,IN,Indiana,Township,39.11904,-86.51979,812,53382,22213,43799,91577113,280736,America/Indiana/Indianapolis,IN,Midwest
11,SO - 0004580,2014-01-01,130,Export,USD,NXH382,389,4,5,1232.8,6164.0,628.728,130,Jayo Company,4,Product 4,389,Aurora,Kendall County/Kane County/Will County/DuPage County,IL,Illinois,City,41.76346,-88.2901,630,200661,61449,63090,116273603,2278285,America/Chicago,IL,Midwest
12,SO - 0004646,2014-01-01,148,Wholesale,USD,GUT930,107,25,5,3859.2000000000003,19296.0,2855.808,148,Jabbercube Corp,25,Product 25,107,Indio,Riverside County,CA,California,City,33.72058,-116.21556,760,87533,26144,50525,86057044,20661,America/Los Angeles,CA,West
13,SO - 0007608,2014-01-01,4,Distributor,USD,NXH382,781,15,10,1983.2,19832.0,1606.392,4,Eire Corp,15,Product 15,781,Dayton,Montgomery County,OH,Ohio,City,39.75895,-84.19161,937,140599,57316,27683,144197693,2208312,America/New York,OH,Midwest
14,SO - 0007951,2014-01-01,123,Distributor,USD,NXH382,458,3,7,167.5,1172.5,135.675,123,Muxo Group,3,Product 3,458,St. Charles (Township),Kane County,IL,Illinois,Township,41.94151,-88.321,630,51812,18766,92472,90236917,1907075,America/Chicago,IL,Midwest
15,SO - 0001068,2014-01-01,64,Export,USD,FLR025,750,10,11,924.6,10170.6,656.466,64,Fatz Group,10,Product 10,750,Islip,Suffolk County,NY,New York,Town,40.71258,-73.19552,631,336113,101387,86864,268844871,153259682,America/New York,NY,Northeast
16,SO - 0002010,2014-01-01,109,Distributor,USD,NXH382,594,11,11,1045.2,11497.2,543.504,109,WOCKHARDT Group,11,Product 11,594,Lansing,Clinton County/Ingham County/Eaton County,MI,Michigan,City,42.71434,-84.55928,517,115056,48414,35563,101329851,1640233,America/Detroit,MI,Midwest
17,SO - 0002504,2014-01-01,42,Export,USD,FLR025,829,27,11,1976.5,21741.5,790.6,42,Colgate-Pa Group,27,Product 27,829,Pittsburgh,Allegheny County,PA,Pennsylvania,City,40.44062,-79.99589,412,304391,132468,40715,143423857,7692318,America/New York,PA,Northeast
18,SO - 0009931,2014-01-01,83,Wholesale,USD,AXW291,19,13,6,6525.8,39154.8,3589.1900000000005,83,sanofi-ave Group,13,Product 13,19,Buckeye,Maricopa County,AZ,Arizona,City,33.37032,-112.58378,623,62138,15718,58939,1015960556,343920,America/Phoenix,AZ,West
19,SO - 0009346,2014-01-01,132,Wholesale,USD,NXH382,210,13,7,1011.7,7081.900000000001,839.711,132,CLINIQUE Ltd,13,Product 13,210,Vallejo,Solano County,CA,California,City,38.10409,-122.25664,707,121253,41216,57028,79438815,48871171,America/Los Angeles,CA,West
20,SO - 0002468,2014-01-01,19,Wholesale,USD,GUT930,74,5,8,1983.2,15865.6,1348.576,19,Roberts Company,5,Product 5,74,Diamond Bar,Los Angeles County,CA,California,City,34.02862,-117.81034,909,56897,17656,89221,38539601,13084,America/Los Angeles,CA,West
21,SO - 0003850,2014-01-01,116,Wholesale,USD,FLR025,105,13,6,2653.2000000000003,15919.2,1485.7920000000004,116,Epic Group,13,Product 13,105,Huntington Beach,Orange County,CA,California,City,33.6603,-117.99923,657,201899,74460,83252,69762694,13438927,America/Los Angeles,CA,West
22,SO - 0006279,2014-01-01,22,Distributor,USD,GUT930,331,4,7,3845.8,26920.600000000002,1538.3200000000002,22,SAFEWAY Ltd,4,Product 4,331,Poinciana,Polk County/Osceola County,FL,Florida,CDP,28.11873,-81.47923,863,56678,17275,39839,186162684,2719596,America/New York,FL,South
23,SO - 0006313,2014-01-01,129,Export,USD,NXH382,128,16,8,1822.4,14579.2,1530.816,129,Sanum-Kehl Group,16,Product 16,128,Mission Viejo,Orange County,CA,California,City,33.60002,-117.672,949,97156,33483,100366,45837210,968033,America/Los Angeles,CA,West
24,SO - 0010604,2014-01-01,95,Wholesale,USD,NXH382,1,19,11,5078.6,55864.600000000006,4113.666,95,Realbridge Corp,19,Product 19,1,Auburn,Lee County,AL,Alabama,City,32.60986,-85.48078,334,62059,21767,38342,152375113,2646161,America/Chicago,AL,South
25,SO - 0008840,2014-01-01,156,Distributor,USD,AXW291,535,2,7,844.2,5909.400000000001,616.266,156,Actavis Company,2,Product 2,535,Metairie,Jefferson Parish,LA,Louisiana,CDP,29.984090000000002,-90.15285,504,140074,59557,52421,60144259,109317,America/Chicago,LA,South
26,SO - 0004336,2014-01-01,143,Export,USD,AXW291,654,14,9,268.0,2412.0,227.79999999999998,143,Mita Corp,14,Product 14,654,Chapel Hill,Durham County/Orange County,NC,North Carolina,Town,35.92812,-79.03742,919,59568,20335,62208,54861359,393225,America/New York,NC,South
27,SO - 0005121,2014-01-01,88,Wholesale,USD,AXW291,542,30,6,5681.6,34089.600000000006,4090.752,88,Twitterbri Ltd,30,Product 30,542,Cambridge,Middlesex County,MA,Massachusetts,City,42.3751,-71.10561,857,110402,43801,79416,16556713,1861901,America/New York,MA,Northeast
28,SO - 0010233,2014-01-01,130,Distributor,USD,AXW291,824,2,7,3899.4,27295.8,1598.754,130,Jayo Company,2,Product 2,824,Lancaster,Lancaster County,PA,Pennsylvania,City,40.03788,-76.30551,717,59339,21356,35313,18718450,330105,America/New York,PA,Northeast
29,SO - 0002206,2014-01-01,81,Wholesale,USD,AXW291,82,16,8,174.20000000000002,1393.6000000000001,109.74600000000001,81,General Company,16,Product 16,82,Encinitas,San Diego County,CA,California,City,33.03699,-117.29198,760,62930,23465,95149,48722319,3050086,America/Los Angeles,CA,West
30,SO - 0002543,2014-01-01,114,Export,USD,FLR025,191,14,9,3644.8,32803.200000000004,2587.808,114,Terumo Corp,14,Product 14,191,Santa Monica,Los Angeles County,CA,California,City,34.01945,-118.49119,424,93220,46688,76580,21795228,3025,America/Los Angeles,CA,West
31,SO - 0002921,2014-01-01,66,Wholesale,USD,AXW291,676,26,10,5875.900000000001,58759.00000000001,4289.407,66,Bluezoom Group,26,Product 26,676,Manchester,Hillsborough County,NH,New Hampshire,City,42.99564,-71.45479,603,110229,45145,54282,85627013,4850146,America/New York,NH,Northeast
32,SO - 0003715,2014-01-01,78,Wholesale,USD,AXW291,452,26,10,1085.4,10854.0,857.4660000000001,78,US Ltd,26,Product 26,452,Rockford,Winnebago County/Ogle County,IL,Illinois,City,42.25884,-89.06455,815,148278,58559,38716,164382960,2627885,America/Chicago,IL,Midwest
33,SO - 0004471,2014-01-01,82,Wholesale,USD,AXW291,356,14,12,2237.8,26853.600000000002,939.8760000000001,82,Accudial Company,14,Product 14,356,Augusta,Richmond County,GA,Georgia,Consolidated Government,33.36149,-82.075,706,201793,73917,39464,840008393,11042219,America/New York,GA,South
34,SO - 0004751,2014-01-01,161,Distributor,USD,NXH382,150,8,9,1172.5,10552.5,515.9,161,Aveda Group,8,Product 8,150,Perris,Riverside County,CA,California,City,33.78252,-117.22865,951,74971,16297,49325,81742547,284236,America/Los Angeles,CA,West
35,SO - 0006833,2014-01-01,172,Export,USD,FLR025,701,4,7,2613.0,18291.0,2142.66,172,BB17 Company,4,Product 4,701,Parsippany-Troy Hills,Morris County,NJ,New Jersey,Township,40.85964,-74.42335,973,53641,19745,89385,60892028,4762327,America/New York,NJ,Northeast
36,SO - 0008532,2014-01-01,72,Wholesale,USD,GUT930,925,5,11,938.0,10318.0,675.36,72,Wordware Company,5,Product 5,925,Layton,Davis County,UT,Utah,City,41.06022,-111.97105,385,74143,22209,69408,57235335,444235,America/Denver,UT,West
37,SO - 0010560,2014-01-01,35,Export,USD,NXH382,528,16,6,2994.9,17969.4,2455.8179999999998,35,Aromaticos Company,16,Product 16,528,Louisville,Jefferson County,KY,Kentucky,City,38.25424,-85.75941,502,760026,0,0,159116437,12579358,America/New York,KY,South
38,SO - 0003527,2014-01-02,8,Wholesale,USD,AXW291,90,18,11,1701.8,18719.8,1429.512,8,Amerisourc Corp,18,Product 18,90,Fremont,Alameda County,CA,California,City,37.54827,-121.98857,510,232206,72684,105355,200632984,26291597,America/Los Angeles,CA,West
39,SO - 0003901,2014-01-02,92,Wholesale,USD,AXW291,754,25,5,1728.6000000000001,8643.0,1019.874,92,Yodoo Ltd,25,Product 25,754,New Rochelle,Westchester County,NY,New York,City,40.91149,-73.78235,914,79846,28279,70036,26807094,7472696,America/New York,NY,Northeast
40,SO - 0001098,2014-01-02,31,Wholesale,USD,AXW291,400,30,11,1675.0,18425.0,1155.75,31,Golden Corp,30,Product 30,400,Capital,Sangamon County,IL,Illinois,Township,39.79106,-89.64457,217,116358,50476,49925,154319522,16272442,America/Chicago,IL,Midwest
41,SO - 0001725,2014-01-02,143,Wholesale,USD,AXW291,460,15,8,6525.8,52206.4,2806.094,143,Mita Corp,15,Product 15,460,Tinley Park,Cook County/Will County,IL,Illinois,Village,41.56858,-87.80422,708,57143,21041,74215,41743331,30829,America/Chicago,IL,Midwest
42,SO - 0002795,2014-01-02,111,Wholesale,USD,AXW291,490,26,12,3872.6,46471.2,2517.19,111,Buzzbean Group,26,Product 26,490,Harrison,Vigo County,IN,Indiana,Township,39.47555,-87.38835,812,51268,19760,30400,59675554,1285182,America/Indiana/Indianapolis,IN,Midwest
43,SO - 0003310,2014-01-02,81,Distributor,USD,FLR025,207,26,10,1038.5,10385.0,529.635,81,General Company,26,Product 26,207,Union City,Alameda County,CA,California,City,37.59583,-122.01917,510,74494,20461,85521,50244982,0,America/Los Angeles,CA,West
44,SO - 0004126,2014-01-02,117,Wholesale,USD,AXW291,329,14,10,3041.8,30418.0,2038.0060000000003,117,ALK-Abello Ltd,14,Product 14,329,Pinellas Park,Pinellas County,FL,Florida,City,27.8428,-82.69954,727,51617,20981,41494,41127042,1726564,America/New York,FL,South
45,SO - 0005940,2014-01-02,69,Export,USD,GUT930,95,13,6,5212.6,31275.600000000002,2814.8040000000005,69,Vinte Group,13,Product 13,95,Gilroy,Santa Clara County,CA,California,City,37.00578,-121.56828,408,53231,14989,83027,41808104,26658,America/Los Angeles,CA,West
46,SO - 0006793,2014-01-02,84,Export,USD,AXW291,587,14,10,3953.0,39530.0,3043.81,84,The Ltd,14,Product 14,587,Detroit,Wayne County,MI,Michigan,City,42.33143,-83.04575,313,677116,255740,25764,359360867,10667144,America/Detroit,MI,Midwest
47,SO - 0007868,2014-01-02,144,Distributor,USD,AXW291,170,3,9,850.9,7658.099999999999,433.959,144,Wordpedia Ltd,3,Product 3,170,Roseville,Placer County,CA,California,City,38.75212,-121.28801,916,130269,46547,75867,111337848,3366,America/Los Angeles,CA,West
48,SO - 0009934,2014-01-02,33,Export,USD,NXH382,923,3,11,2519.2000000000003,27711.200000000004,1058.064,33,Cadila Ltd,3,Product 3,923,Waco,McLennan County,TX,Texas,City,31.54933,-97.14667,254,132356,46719,33147,230561142,31850141,America/Chicago,TX,South
49,SO - 000791,2014-01-02,130,Export,USD,AXW291,98,17,5,3108.8,15544.0,1896.3680000000002,130,Jayo Company,17,Product 17,98,Hacienda Heights,Los Angeles County,CA,California,CDP,33.99307,-117.96868,626,55179,16020,78039,28957966,18431,America/Los Angeles,CA,West
50,SO - 0003756,2014-01-02,136,Export,USD,AXW291,442,30,10,221.1,2211.0,128.238,136,Bath Group,30,Product 30,442,Orland Park,Cook County/Will County,IL,Illinois,Village,41.60815,-87.85929,708,58619,22048,81453,56938629,736535,America/Chicago,IL,Midwest
51,SO - 0004390,2014-01-02,36,Export,USD,GUT930,272,16,6,5929.5,35577.0,4209.945,36,Trunyx Ltd,16,Product 16,272,Waterbury (Town),New Haven County,CT,Connecticut,Town,41.5585,-73.03668,203,108802,40213,40467,73880017,1086045,America/New York,CT,Northeast
52,SO - 0006241,2014-01-02,124,Wholesale,USD,AXW291,869,3,10,1065.3,10653.0,628.5269999999999,124,Roomm Company,3,Product 3,869,College Station,Brazos County,TX,Texas,City,30.62798,-96.33441,979,107889,36175,34186,132070745,369349,America/Chicago,TX,South
53,SO - 0008226,2014-01-02,121,Wholesale,USD,AXW291,747,20,11,938.0,10318.0,684.74,121,Tambee Company,20,Product 20,747,Huntington,Suffolk County,NY,New York,Town,40.88409,-73.37676,631,204398,69000,105451,243808665,111325968,America/New York,NY,Northeast
54,SO - 0010346,2014-01-02,29,Export,USD,AXW291,272,4,5,5708.400000000001,28542.000000000004,2283.36,29,Voolia Ltd,4,Product 4,272,Waterbury (Town),New Haven County,CT,Connecticut,Town,41.5585,-73.03668,203,108802,40213,40467,73880017,1086045,America/New York,CT,Northeast
55,SO - 0004104,2014-01-02,168,Wholesale,USD,NXH382,671,23,7,3839.1,26873.7,2457.024,168,Podcat Corp,23,Product 23,671,Grand Forks,Grand Forks County,ND,North Dakota,City,47.92526,-97.03285,701,57011,23319,46149,69852722,488150,America/Chicago,ND,Midwest
56,SO - 0005545,2014-01-02,115,Wholesale,USD,AXW291,256,2,8,1098.8,8790.4,483.472,115,Dynazzy Company,2,Product 2,256,Manchester,Hartford County,CT,Connecticut,Town,41.77524,-72.52443,959,58007,24141,63158,70972793,720300,America/New York,CT,Northeast
57,SO - 0005765,2014-01-02,113,Distributor,USD,AXW291,90,13,7,5688.3,39818.1,2502.8520000000003,113,Talane Group,13,Product 13,90,Fremont,Alameda County,CA,California,City,37.54827,-121.98857,510,232206,72684,105355,200632984,26291597,America/Los Angeles,CA,West
58,SO - 0006767,2014-01-02,105,Distributor,USD,GUT930,31,16,10,1983.2,19832.0,1269.248,105,Oozz Group,16,Product 16,31,Phoenix,Maricopa County,AZ,Arizona,City,33.44838,-112.07404,602,1563025,525610,47326,1340692038,3247104,America/Phoenix,AZ,West
59,SO - 0006883,2014-01-02,175,Distributor,USD,GUT930,322,7,12,1246.2,14954.400000000001,834.9540000000001,175,SHISEIDO Ltd,7,Product 7,322,Palm Bay,Brevard County,FL,Florida,City,28.03446,-80.58866,321,107888,37821,43163,170217927,8124203,America/New York,FL,South
60,SO - 0007017,2014-01-02,139,Distributor,USD,NXH382,787,5,9,3825.7000000000003,34431.3,2486.7050000000004,139,Zoomzone Corp,5,Product 5,787,Lorain,Lorain County,OH,Ohio,City,41.45282,-82.18237,440,63647,25218,35042,61313519,1228516,America/New York,OH,Midwest
61,SO - 0007493,2014-01-02,94,Wholesale,USD,GUT930,296,18,8,2351.7000000000003,18813.600000000002,1293.4350000000002,94,Browsetype Corp,18,Product 18,296,Fort Lauderdale,Broward County,FL,Florida,City,26.12231,-80.14338,954,178590,73446,50778,89672308,4372775,America/New York,FL,South
62,SO - 0008686,2014-01-02,146,Export,USD,NXH382,235,21,7,3189.2000000000003,22324.4,2647.036,146,Vimbo Company,21,Product 21,235,Greeley,Weld County,CO,Colorado,City,40.42331,-104.70913,970,100883,33774,48813,123893579,314890,America/Denver,CO,West
63,SO - 0008746,2014-01-02,128,Distributor,USD,AXW291,479,16,10,2244.5,22445.0,920.2449999999999,128,Cantrell Company,16,Product 16,479,Concord,Elkhart County,IN,Indiana,Township,41.65183,-85.94312,574,55462,19401,38285,92971376,1798524,America/Indiana/Indianapolis,IN,Midwest
64,SO - 0001523,2014-01-02,82,Distributor,USD,GUT930,254,25,5,6137.2,30686.0,4234.668,82,Accudial Company,25,Product 25,254,Hartford,Hartford County,CT,Connecticut,City,41.76371,-72.68509,959,124006,45239,30630,45016120,1748078,America/New York,CT,Northeast
65,SO - 0002194,2014-01-02,159,Wholesale,USD,AXW291,339,20,7,2680.0,18760.0,1098.8,159,Quaxo Ltd,20,Product 20,339,Spring Hill,Hernando County,FL,Florida,CDP,28.47689,-82.52546,352,100270,39038,41308,154983928,6194314,America/New York,FL,South
66,SO - 0002824,2014-01-02,150,Wholesale,USD,AXW291,45,15,8,1092.1000000000001,8736.800000000001,589.7340000000002,150,Zooxo Ltd,15,Product 15,45,Arden-Arcade,Sacramento County,CA,California,CDP,38.60336,-121.38005,916,92844,40602,45489,46185637,232743,America/Los Angeles,CA,West
67,SO - 0002859,2014-01-02,12,Distributor,USD,FLR025,481,8,11,1688.4,18572.4,776.6640000000001,12,Realcube Company,8,Product 8,481,Evansville,Vanderburgh County,IN,Indiana,City,37.97476,-87.55585,812,119943,51271,35785,122628548,1274315,America/Chicago,IN,Midwest
68,SO - 0003113,2014-01-02,101,Wholesale,USD,GUT930,205,25,8,1802.3,14418.4,1297.656,101,Feednation Corp,25,Product 25,205,Turlock,Stanislaus County,CA,California,City,37.49466,-120.84659,209,72292,23983,51401,43830795,69528,America/Los Angeles,CA,West
69,SO - 0004190,2014-01-02,133,Wholesale,USD,AXW291,861,13,10,3946.3,39463.0,2249.391,133,Mydo Corp,13,Product 13,861,Atascocita,Harris County,TX,Texas,CDP,29.99883,-95.1766,832,69470,21812,84982,62552086,449664,America/Chicago,TX,South
70,SO - 0004531,2014-01-02,38,Distributor,USD,AXW291,586,12,6,3932.9,23597.4,2084.4370000000004,38,Neutrogena Ltd,12,Product 12,586,Dearborn Heights,Wayne County,MI,Michigan,City,42.33698,-83.27326,313,56145,20646,44620,30402482,22745,America/Detroit,MI,Midwest
71,SO - 0004734,2014-01-02,24,Distributor,USD,AXW291,752,11,9,1105.5,9949.5,486.42,24,Mylan Corp,11,Product 11,752,Manhattan,New York County,NY,New York,Borough,40.72833,-73.99417,212,1644518,738644,47030,59100000,28000000,America/New York,NY,Northeast
72,SO - 0005505,2014-01-02,56,Wholesale,USD,GUT930,924,21,6,1802.3,10813.8,1315.6789999999999,56,Realpoint Corp,21,Product 21,924,Wichita Falls,Wichita County,TX,Texas,City,33.91371,-98.49339,940,104710,37200,44543,187027492,61486,America/Chicago,TX,South
73,SO - 0006105,2014-01-02,38,Export,USD,AXW291,330,14,11,1896.1000000000001,20857.100000000002,777.401,38,Neutrogena Ltd,14,Product 14,330,Plantation,Broward County,FL,Florida,City,26.12759,-80.2331,954,92560,33208,66647,56037359,773422,America/New York,FL,South
74,SO - 0007660,2014-01-02,140,Wholesale,USD,AXW291,541,27,5,2921.2000000000003,14606.000000000002,2103.264,140,Safecor Corp,27,Product 27,541,Brookline (CDP),Norfolk County,MA,Massachusetts,CDP,42.33176,-71.12116,857,59016,25324,95518,17508399,184972,America/New York,MA,Northeast
75,SO - 0009316,2014-01-02,93,Wholesale,USD,AXW291,81,11,11,2867.6,31543.6,1319.096,93,Meejo Corp,11,Product 11,81,El Monte,Los Angeles County,CA,California,City,34.06862,-118.02757,626,116732,30752,38085,24766390,221652,America/Los Angeles,CA,West
76,SO - 0009694,2014-01-02,44,Wholesale,USD,AXW291,632,14,10,911.2,9112.0,637.84,44,Fivechat Company,14,Product 14,632,Blue Springs,Jackson County,MO,Missouri,City,39.01695,-94.28161,816,54148,19132,63753,57890712,199618,America/Chicago,MO,Midwest
77,SO - 0008905,2014-01-02,43,Wholesale,USD,GUT930,408,2,7,1092.1000000000001,7644.700000000001,589.7340000000002,43,Pacific Ltd,2,Product 2,408,Des Plaines,Cook County,IL,Illinois,City,42.03336,-87.8834,847,58677,22191,65109,37150630,379921,America/Chicago,IL,Midwest
78,SO - 0010547,2014-01-02,107,Wholesale,USD,FLR025,956,27,7,207.70000000000002,1453.9,176.54500000000002,107,NCS Group,27,Product 27,956,Auburn,King County/Pierce County,WA,Washington,City,47.30377,-122.21,253,77006,27280,59347,76842195,555761,America/Los Angeles,WA,West
79,SO - 0001033,2014-01-02,146,Wholesale,USD,AXW291,115,25,9,2552.7000000000003,22974.300000000003,2093.214,146,Vimbo Company,25,Product 25,115,Lakewood,Los Angeles County,CA,California,City,33.85363,-118.13396,562,81611,26083,79193,24394508,133056,America/Los Angeles,CA,West
80,SO - 0007387,2014-01-02,166,Wholesale,USD,NXH382,919,26,8,938.0,7504.0,731.64,166,Brainspher Ltd,26,Product 26,919,Temple,Bell County,TX,Texas,City,31.09823,-97.34278,254,72277,25204,47475,181451278,12464194,America/Chicago,TX,South
81,SO - 0009903,2014-01-02,11,Wholesale,USD,AXW291,618,11,11,3973.1,43704.1,3337.404,11,Voonyx Group,11,Product 11,618,Coon Rapids,Anoka County,MN,Minnesota,City,45.11997,-93.28773,651,62240,24111,64203,58541348,1914190,America/Chicago,MN,Midwest
82,SO - 0002911,2014-01-03,37,Wholesale,USD,AXW291,346,15,6,911.2,5467.200000000001,665.176,37,Mycone Ltd,15,Product 15,346,The Hammocks,Miami-Dade County,FL,Florida,CDP,25.67149,-80.4445,305,54833,15687,58655,20412461,571867,America/New York,FL,South
83,SO - 0003775,2014-01-03,39,Distributor,USD,AXW291,149,18,12,891.1,10693.2,516.838,39,Kazu Corp,18,Product 18,149,Pasadena,Los Angeles County,CA,California,City,34.14778,-118.14452,626,142250,54536,72402,59524677,377058,America/Los Angeles,CA,West
84,SO - 0004386,2014-01-03,57,Distributor,USD,AXW291,478,19,9,1045.2,9406.800000000001,418.08000000000004,57,Camido Company,19,Product 19,478,Clay,Hamilton County,IN,Indiana,Township,39.96548,-86.14837,317,92745,32998,103718,127146404,2813315,America/Indiana/Indianapolis,IN,Midwest
85,SO - 0004792,2014-01-03,141,Wholesale,USD,AXW291,219,1,6,167.5,1005.0,83.75,141,Skinder Group,1,Product 1,219,Whittier,Los Angeles County,CA,California,City,33.97918,-118.03284,562,87438,27525,66457,37940391,40476,America/Los Angeles,CA,West
86,SO - 0005414,2014-01-03,152,Wholesale,USD,AXW291,989,25,7,1835.8,12850.6,1413.566,152,Eayo Company,25,Product 25,989,Oshkosh,Winnebago County,WI,Wisconsin,City,44.02471,-88.54261,920,66555,26152,42650,69403360,2631938,America/Chicago,WI,Midwest
87,SO - 0005609,2014-01-03,58,Distributor,USD,AXW291,130,10,7,3966.4,27764.8,1903.872,58,Ozu Ltd,10,Product 10,130,Montebello,Los Angeles County,CA,California,City,34.00944,-118.10528,323,63921,19816,45875,21579670,104151,America/Los Angeles,CA,West
88,SO - 0006308,2014-01-03,78,Wholesale,USD,AXW291,29,28,8,214.4,1715.2,124.35199999999999,78,US Ltd,28,Product 28,29,Mesa,Maricopa County,AZ,Arizona,City,33.42227,-111.82264,480,471825,168914,48809,357097953,1950781,America/Phoenix,AZ,West
89,SO - 0006534,2014-01-03,151,Distributor,USD,AXW291,344,15,9,5152.3,46370.700000000004,3709.656,151,Snaptags Ltd,15,Product 15,344,Tamiami,Miami-Dade County,FL,Florida,CDP,25.75871,-80.39839,305,57123,16085,46449,18250601,985214,America/New York,FL,South
90,SO - 0007139,2014-01-03,159,Wholesale,USD,AXW291,545,2,6,2418.7000000000003,14512.2,1910.7730000000004,159,Quaxo Ltd,2,Product 2,545,Framingham,Middlesex County,MA,Massachusetts,Town,42.30791,-71.4362,774,71209,27028,68219,64865527,3789373,America/New York,MA,Northeast
91,SO - 0001045,2014-01-03,85,Export,USD,NXH382,919,30,12,1125.6000000000001,13507.2,529.032,85,Lazzy Group,30,Product 30,919,Temple,Bell County,TX,Texas,City,31.09823,-97.34278,254,72277,25204,47475,181451278,12464194,America/Chicago,TX,South
92,SO - 0002195,2014-01-03,37,Wholesale,USD,AXW291,536,15,7,1675.0,11725.0,686.75,37,Mycone Ltd,15,Product 15,536,New Orleans,Orleans Parish,LA,Louisiana,City,29.95465,-90.07507,504,389617,153140,36792,438799508,467299606,America/Chicago,LA,South
93,SO - 0002314,2014-01-03,29,Wholesale,USD,GUT930,405,14,5,6304.7,31523.5,2774.0679999999998,29,Voolia Ltd,14,Product 14,405,Cicero (Township),Cook County,IL,Illinois,Township,41.84454,-87.75929,708,83886,21721,41866,15190700,0,America/Chicago,IL,Midwest
94,SO - 0004070,2014-01-03,39,Distributor,USD,NXH382,844,19,6,2646.5,15879.0,1243.855,39,Kazu Corp,19,Product 19,844,Sioux Falls,Minnehaha County/Lincoln County,SD,South Dakota,City,43.53834,-96.732,605,171544,65538,52494,195275757,1354349,America/Chicago,SD,Midwest
95,SO - 0006097,2014-01-03,155,Wholesale,USD,NXH382,823,25,8,2010.0,16080.0,1386.8999999999999,155,Zoomdog Corp,25,Product 25,823,Erie,Erie County,PA,Pennsylvania,City,42.12922,-80.08506,814,99475,41131,34253,49558861,404131,America/New York,PA,Northeast
96,SO - 0010022,2014-01-03,100,Wholesale,USD,AXW291,670,2,5,247.9,1239.5,185.925,100,Aibox Company,2,Product 2,670,Fargo,Cass County,ND,North Dakota,City,46.87719,-96.7898,701,118523,49962,46175,127714801,0,America/Chicago,ND,Midwest
